time	hru_snow(1)	hru_snow(2)	hru_snow(3)	hru_snow(4)	hru_snow(5)	hru_snow(6)	hru_snow(7)	hru_snow(8)	hru_snow(9)	hru_snow(10)	hru_snow(11)	hru_snow(12)	hru_snow(13)	hru_snow(14)	hru_snow(15)	hru_snow(16)	hru_snow(17)	hru_snow(18)	hru_snow(19)	hru_snow(20)	hru_snow(21)	hru_snow(22)	hru_snow(23)	hru_snow(24)	hru_snow(25)	hru_snow(26)	hru_snow(27)	hru_snow(28)	hru_snow(29)	hru_snow(30)	hru_snow(31)	hru_snow(32)	hru_snow(33)	hru_snow(34)	hru_snow(35)	hru_snow(36)	hru_snow(37)	hru_snow(38)	hru_snow(39)	hru_snow(40)	hru_snow(41)	hru_snow(42)	hru_snow(43)	hru_snow(44)	hru_snow(45)	hru_snow(46)	hru_snow(47)	hru_snow(48)
2022-03-02T07:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T08:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T09:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T10:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T11:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T12:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T13:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T14:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T15:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T16:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T17:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T18:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T19:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T20:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T21:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T22:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-02T23:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T01:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T02:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T03:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T04:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T05:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T06:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T07:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T08:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T09:00	0.07153369	0.07153369	0.07153369	0.04987849	0.07153369	0.07153369	0.07153369	0.01339631	0	0.07153369	0.0562515	0	0.07153369	0	0	0	0	0.07153369	0.07153369	0.07153369	0.03355581	0	0.07153369	0.05748708	0	0	0	0	0.05761714	0.03628709	0.04981346	0.03563679	0	0.07153369	0	0.07153369	0	0.07153369	0	0.07153369	0	0.07153369	0.07153369	0.07153369	0.07153369	0.07153369	0	0.02289078
2022-03-03T10:00	0.09342657	0.09342657	0.09342657	0.05783954	0.09342657	0.09342657	0.09342657	0.006624793	0	0.09342657	0.06675753	0	0.09342657	0	0	0	0	0.09342657	0.09342657	0.09342657	0.03490756	0	0.09342657	0.06854113	0	0	0	0	0.06871099	0.03872956	0.05775461	0.03788023	0	0.09342657	0	0.09342657	0	0.09342657	0	0.09342657	0	0.09342657	0.09342657	0.09342657	0.09342657	0.09342657	0	0.01995931
2022-03-03T11:00	0.1708975	0.2007695	0.1117617	0	0.05116581	0.2007695	0.03419166	0	0	0.04715042	0	0	0.2007695	0	0	0	0	0.2007695	0.2007695	0.1183323	0	0	0.2007695	0	0	0	0	0	0	0	0	0	0	0.2007695	0	0.2007695	0	0.2007695	0	0.2007695	0	0.2007695	0.1395044	0.2007695	0.2007695	0.2007695	0	0
2022-03-03T12:00	0	0.04984499	0	0	0	0.2360008	0	0	0	0	0	0	0.4196134	0	0	0	0	0.02543112	0.2138757	0	0	0	0.1345306	0	0	0	0	0	0	0	0	0	0	0.1478819	0	0.02771992	0	0.3443373	0	0.4196134	0	0.4196134	0	0.3199234	0.1368194	0.06472219	0	0
2022-03-03T13:00	0	0	0	0	0	0	0	0	0	0	0	0	0.1594485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2613051	0	0.009043346	0	0	0	0	0	0
2022-03-03T14:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T15:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T16:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T17:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T18:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T19:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T20:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T21:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T22:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-03T23:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T01:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T02:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T03:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T04:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T05:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T06:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T07:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T08:00	0.0195169	0.0195169	0.0195169	0.0195169	0.0195169	0.0195169	0.0195169	0.0195169	0	0.0195169	0.0195169	0	0.0195169	0	0	0	0	0.0195169	0.0195169	0.0195169	0.0195169	0	0.0195169	0.0195169	0	0	0	0	0.0195169	0.0195169	0.0195169	0.0195169	0	0.0195169	0	0.0195169	0	0.0195169	0	0.0195169	0	0.0195169	0.0195169	0.0195169	0.0195169	0.0195169	0	0.0195169
2022-03-04T09:00	0.06915772	0.06915772	0.06915772	0.06915772	0.06915772	0.06915772	0.06915772	0.06915772	0	0.06915772	0.06915772	0	0.06915772	0	0	0	0	0.06915772	0.06915772	0.06915772	0.06915772	0	0.06915772	0.06915772	0	0	0	0	0.06915772	0.06915772	0.06915772	0.06915772	0	0.06915772	0	0.06915772	0	0.06915772	0	0.06915772	0	0.06915772	0.06915772	0.06915772	0.06915772	0.06915772	0	0.06915772
2022-03-04T10:00	0.1487527	0.1487527	0.1487527	0.1487527	0.1487527	0.1487527	0.1487527	0.1487527	0.0304267	0.1487527	0.1487527	0.04394968	0.1487527	0	0	0	0	0.1487527	0.1487527	0.1487527	0.1487527	0	0.1487527	0.1487527	0	0	0	0	0.1487527	0.1487527	0.1487527	0.1487527	0.03772911	0.1487527	0	0.1487527	0	0.1487527	0	0.1487527	0	0.1487527	0.1487527	0.1487527	0.1487527	0.1487527	0.03556543	0.1487527
2022-03-04T11:00	0.1454434	0.1454434	0.1454434	0.1335434	0.1454434	0.1454434	0.1454434	0.0622762	0	0.1454434	0.1454434	0	0.1454434	0	0	0	0	0.1454434	0.1454434	0.1454434	0.1015459	0	0.1454434	0.1454434	0	0	0	0	0.1454434	0.106967	0.1334112	0.105777	0	0.1454434	0	0.1454434	0	0.1454434	0	0.1454434	0	0.1454434	0.1454434	0.1454434	0.1454434	0.1454434	0	0.08078717
2022-03-04T12:00	0.1670718	0.2192032	0.1023786	0	0.03621982	0.2302995	0.0175865	0	0	0.0318232	0	0	0.2302995	0	0	0	0	0.2064321	0.2302995	0.1097063	0	0	0.2302995	0	0	0	0	0	0	0	0	0	0	0.2302995	0	0.2076882	0	0.2302995	0	0.2302995	0	0.2302995	0.1327362	0.2302995	0.2302995	0.2269497	0	0
2022-03-04T13:00	0	0.007866161	0	0	0	0.07608723	0	0	0	0	0	0	0.1573232	0	0	0	0	0	0.06807805	0	0	0	0.03904476	0	0	0	0	0	0	0	0	0	0	0.04390748	0	0	0	0.1157041	0	0.1573232	0	0.1440223	0	0.1066937	0.03975987	0.01344398	0	0
2022-03-04T14:00	0.07064764	0.08392268	0.04035918	0	0.009384082	0.08392268	0.0007629335	0	0	0.007324162	0	0	0.08392268	0	0	0	0	0.08392268	0.08392268	0.04379238	0	0	0.08392268	0	0	0	0	0	0	0	0	0	0	0.08392268	0	0.08392268	0	0.08392268	0	0.08392268	0	0.08392268	0.05462604	0.08392268	0.08392268	0.08392268	0	0
2022-03-04T15:00	0.0009010175	0.01030539	0	0	0	0.0279597	0	0	0	0	0	0	0.03097248	0	0	0	0	0.00799653	0.0258761	0	0	0	0.01835823	0	0	0	0	0	0	0	0	0	0	0.01962529	0	0.008249942	0	0.03097248	0	0.03097248	0	0.03097248	0	0.03097248	0.01855533	0.01174138	0	0
2022-03-04T16:00	0.03003906	0.03003906	0.03003906	0.005243181	0.03003906	0.03003906	0.03003906	0	0	0.03003906	0.01021328	0	0.03003906	0	0	0	0	0.03003906	0.03003906	0.03003906	0	0	0.03003906	0.01119638	0	0	0	0	0.0112783	0	0.005188565	0	0	0.03003906	0	0.03003906	0	0.03003906	0	0.03003906	0	0.03003906	0.03003906	0.03003906	0.03003906	0.03003906	0	0
2022-03-04T17:00	0.02715395	0.02715395	0.02715395	0.005480161	0.02715395	0.02715395	0.02611717	0	0	0.02715395	0.009257029	0	0.02715395	0	0	0	0	0.02715395	0.02715395	0.02715395	0	0	0.02715395	0.01002228	0	0	0	0	0.01009633	0	0.005455476	0	0	0.02715395	0	0.02715395	0	0.02715395	0	0.02715395	0	0.02715395	0.02715395	0.02715395	0.02715395	0.02715395	0	0
2022-03-04T18:00	0.01238899	0.01238899	0.01238899	0.003468917	0.01238899	0.01238899	0.01238899	0	0	0.01238899	0.005113274	0	0.01238899	0	0	0	0	0.01238899	0.01238899	0.01238899	0	0	0.01238899	0.005439893	0	0	0	0	0.005473681	0	0.003457655	0	0	0.01238899	0	0.01238899	0	0.01238899	0	0.01238899	0	0.01238899	0.01238899	0.01238899	0.01238899	0.01238899	0	0
2022-03-04T19:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T20:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T21:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T22:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-04T23:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-05T00:00	0.003309388	0.003309388	0.003309388	0.002087923	0.003309388	0.003309388	0.003309388	0	0	0.003309388	0.002506109	0	0.003309388	0	0	0	0	0.003309388	0.003309388	0.003309388	0.001016885	0	0.003309388	0.00258734	0	0	0	0	0.002596365	0.001197397	0.002084914	0.001155277	0	0.003309388	0	0.003309388	0	0.003309388	0	0.003309388	0	0.003309388	0.003309388	0.003309388	0.003309388	0.003309388	0	0.0003189047
2022-03-05T01:00	0.001866834	0.001866834	0.001866834	0.001323755	0.001866834	0.001866834	0.001866834	0	0	0.001866834	0.001561352	0	0.001866834	0	0	0	0	0.001866834	0.001866834	0.001866834	0.0007127913	0	0.001866834	0.001607175	0	0	0	0	0.001612266	0.0008163157	0.001320361	0.000792556	0	0.001866834	0	0.001866834	0	0.001866834	0	0.001866834	0	0.001866834	0.001866834	0.001866834	0.001866834	0.001866834	0	0.0003156647
2022-03-05T02:00	0.001866834	0.001866834	0.001866834	0.001637723	0.001866834	0.001866834	0.001866834	0.000264751	0	0.001866834	0.001866834	0	0.001866834	0	0	0	0	0.001866834	0.001866834	0.001866834	0.001023365	0	0.001866834	0.001866834	0	0	0	0	0.001866834	0.001126889	0.001636026	0.001103129	0	0.001866834	0	0.001866834	0	0.001866834	0	0.001866834	0	0.001866834	0.001866834	0.001866834	0.001866834	0.001866834	0	0.0006211467
2022-03-05T03:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-05T04:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-05T05:00	0.002375971	0.002375971	0.002375971	0.002375971	0.002375971	0.002375971	0.002375971	0.001092947	0	0.002375971	0.002375971	0	0.002375971	0	0	0	0	0.002375971	0.002375971	0.002375971	0.001997975	0	0.002375971	0.002375971	0	0	0	0	0.002375971	0.002121094	0.002375971	0.002093014	0	0.002375971	0	0.002375971	0	0.002375971	0	0.002375971	0	0.002375971	0.002375971	0.002375971	0.002375971	0.002375971	0	0.001520621
